Source,Recipient Congressional District,Recipient Name,Award ID,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Start Date,Current End Date,End Date Basis,Initial Reported End Date,Current Obligated Amount,Total Outlays,Award or Action Description,Primary Detection Method,Detection Evidence,Recipient Business Categories,USAspending URL,Claimed By,DOGE Claimed Status,DOGE Claimed Savings,DOGE Claim Date
USAspending Terminations,,Ghgsat Incorporated,80HQTR22AA009,P00003,,,2022-09-28,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-11,P00003,2025-03-11,,,2022-09-28,2025-03-11,idv_last_date_to_order,2027-09-27,0.00,,CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,termination_action_code,Terminate-for-convenience action P00003 on 2025-03-11,"category_business, corporate_entity_not_tax_exempt, foreign_owned, other_than_small_business, special_designations",https://www.usaspending.gov/award/CONT_IDV_80HQTR22AA009_8000/,,,,
USAspending Terminations,VA-11,Guidehouse Inc.,80NSSC24AA012,P00004,,,2024-01-30,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-13,P00004,2025-03-13,,,2024-01-29,2025-03-12,idv_last_date_to_order,2029-07-15,0.00,,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPAS FOR NASA ADMINISTRATIVE SUITE.,termination_action_code,Terminate-for-convenience action P00004 on 2025-03-13,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80NSSC24AA012_8000/,,,,
DOGE,VA-11,Guidehouse Inc.,80HQTR24FA019,P00013,,,2023-11-30,C,FUNDING ONLY ACTION,2025-08-11,,,,,2023-12-01,2025-11-30,period_of_performance,2024-11-30,1831560.00,1831560.00,"Status: FUNDING ONLY ACTION. Reported savings: $639,900.00. DOGE Action Date: 3/20/2025. The contractor to provide services related to an integrated approach to conducting annual assessments of NASA’s management controls, internal control over financial reporting, fraud risk management framework and payment integrity.",external_claim,FUNDING ONLY ACTION,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24FA019_8000_80HQTR24AA002_8000/,DOGE,FUNDING ONLY ACTION,639900.0,3/20/2025
DOGE,NY-24,Harbec Inc,80NSSC24PC367,P00001,,,2024-09-10,M,OTHER ADMINISTRATIVE ACTION,2025-02-11,,,,,2024-09-10,2025-02-28,period_of_performance,2024-10-29,105768.00,105768.00,"Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. 104 end caps, 104 end cap sleeves",external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC367_8000_-NONE-_-NONE-/,DOGE,Expired,0.0,3/20/2025
DOGE,NE-03,Ho-Chunk Shared Services Company,80NSSC22PB703,P00003,,,2022-08-02,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-24,P00003,2025-03-24,,,2022-08-05,2025-03-24,period_of_performance,2023-08-04,109953.67,109703.67,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/18/2025. Strategic analysis and support services,external_claim,TERMINATED,"8a_program_participant, american_indian_owned_business, category_business, community_development_corporations, corporate_entity_tax_exempt, historically_underutilized_business_firm, minority_owned_business, native_american_owned_business, nonprofit, self_certified_small_disadvanted_business, small_business, special_designations, tribally_owned_firm, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC22PB703_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,2/18/2025
USAspending Terminations,CO-02,Honeybee Robotics LLC,80GSFC23CA030,P00010,,,2022-11-22,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-09-29,P00010,2025-09-29,,,2022-11-30,2023-12-04,period_of_performance,2026-07-30,7129014.07,6679036.86,"TERMINATE FOR CONVENIENCE AGREEMENT - MARS SAMPLE RETURN (MSR) CAPTURE, CONTAINMENT AND RETURN SYSTEMS (CCRS) EARTH ENTRY SYSTEM (EES) SPIN EJECT MECHANISM (SEM) FOR SMD DIRECTORATE.",termination_action_code,Terminate-for-convenience action P00010 on 2025-09-29,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, manufacturer_of_goods, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA030_8000_-NONE-_-NONE-/,,,,
DOGE,OH-11,Howard Wershbale & Co,80NSSC20P1795,P00008,,,2020-08-23,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00008,2025-04-08,,,2020-08-23,2025-04-08,period_of_performance,2020-09-30,16050.00,16100.00,"Status: TERMINATED. Reported savings: $3,950.00. DOGE Action Date: 4/14/2025. Financial statement review",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC20P1795_8000_-NONE-_-NONE-/,DOGE,TERMINATED,3950.0,4/14/2025
DOGE,FL-01,Hx5 LLC,80GRC020F0118,P00017,,,2020-04-02,C,FUNDING ONLY ACTION,2025-07-08,,,,,2020-04-01,2026-09-30,period_of_performance,2021-03-31,2125591.44,1979945.85,"Status: FUNDING ONLY ACTION. Reported savings: $1,877,126.00. DOGE Action Date: 3/20/2025. Lpr fan test hardware support. test lpr (low pressure ratio) turbofan design take-off, landing, climb, and cruise conditions.",external_claim,FUNDING ONLY ACTION,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, limited_liability_corporation, minority_owned_business, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80GRC020F0118_8000_80GRC020D0003_8000/,DOGE,FUNDING ONLY ACTION,1877126.0,3/20/2025
DOGE,FL-01,Hx5 LLC,80GRC022F0189,P00021,,,2022-09-23,C,FUNDING ONLY ACTION,2026-05-21,,,,,2022-09-22,2026-12-31,period_of_performance,2022-12-31,873990.51,839535.46,"Status: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE. Reported savings: $806,334.00. DOGE Action Date: 3/20/2025. Prototype manufacturing of a motor for dusty & extremely cold environments (MDECE).",external_claim,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, limited_liability_corporation, minority_owned_business, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80GRC022F0189_8000_80GRC020D0003_8000/,DOGE,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,806334.0,3/20/2025
DOGE,FL-01,Hx5 LLC,80GRC020F0111,P00029,,,2020-04-01,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-06-11,,,,,2020-04-01,2026-12-31,period_of_performance,2020-10-31,2419150.89,1829268.11,"Status: FUNDING ONLY ACTION. Reported savings: $1,513,111.00. DOGE Action Date: 3/20/2025. Superconducting motor components & test devices.",external_claim,FUNDING ONLY ACTION,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, limited_liability_corporation, minority_owned_business, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80GRC020F0111_8000_80GRC020D0003_8000/,DOGE,FUNDING ONLY ACTION,1513111.0,3/20/2025
DOGE,FL-01,Hx5 LLC,80GRC020F0115,P00034,,,2020-04-23,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-06-18,,,,,2020-04-01,2027-03-31,period_of_performance,2020-09-30,2427377.54,1767154.06,"Status: FUNDING ONLY ACTION. Reported savings: $1,771,458.00. DOGE Action Date: 3/20/2025. Electric drive test support and technical communication.",external_claim,FUNDING ONLY ACTION,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, limited_liability_corporation, minority_owned_business, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80GRC020F0115_8000_80GRC020D0003_8000/,DOGE,FUNDING ONLY ACTION,1771458.0,3/20/2025
DOGE,FL-01,Hx5 LLC,80GRC021F0111,P00008,,,2021-08-11,C,FUNDING ONLY ACTION,2026-07-20,,,,,2021-07-18,2027-03-31,period_of_performance,2022-03-31,763415.65,134286.63,"Status: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE. Reported savings: $148,680.00. DOGE Action Date: 3/20/2025. Advanced seal development 4",external_claim,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, limited_liability_corporation, minority_owned_business, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80GRC021F0111_8000_80GRC020D0003_8000/,DOGE,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,148680.0,3/20/2025
DOGE,VA-11,"Hydrogeologic, Inc.",80KSC019F0128,P00010,,,2019-04-26,M,OTHER ADMINISTRATIVE ACTION,2025-04-17,,,,,2019-04-26,2025-03-18,period_of_performance,2024-01-31,151868.35,126804.17,"Status: Expired. Reported savings: $154,681.00. DOGE Action Date: 3/20/2025. Support meetings with florida department of environmental protection to review project progress and reach consensus on the path forward.",external_claim,Expired,"asian_pacific_american_owned_business, category_business, corporate_entity_not_tax_exempt, minority_owned_business, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80KSC019F0128_8000_80KSC019D0012_8000/,DOGE,Expired,154681.0,3/20/2025
DOGE,GA-07,Ibex It Business Experts LLC,80NSSC23FA528,P00007,,,2023-06-13,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-23,P00007,2025-04-23,,,2023-06-01,2025-03-31,period_of_performance,2024-02-29,214134.25,214134.25,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/1/2025. Human resources and executive search consulting services: NASA enterprise-wide human capital services,external_claim,TERMINATED,"8a_program_participant, black_american_owned_business, category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, limited_liability_corporation, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23FA528_8000_80NSSC23DA001_8000/,DOGE,TERMINATED,0.0,5/1/2025
USAspending Terminations,CA-47,"Iceye Us, Inc",80HQTR23AA003,P00003,,,2023-03-15,N,LEGAL CONTRACT CANCELLATION,2025-03-11,,,,,2023-03-15,2025-03-11,idv_last_date_to_order,2028-03-14,0.00,,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,legal_contract_cancellation,Legal-contract-cancellation action P00003 on 2025-03-11,"category_business, corporate_entity_not_tax_exempt, foreign_owned, foreign_owned_and_us_located_business, self_certified_small_disadvanted_business, small_business, special_designations",https://www.usaspending.gov/award/CONT_IDV_80HQTR23AA003_8000/,,,,
USAspending Terminations,VA-11,"Icf Incorporated, LLC",80HQTR21D0004,P00031,,,2021-04-14,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-03-03,P00031,2026-03-03,,,2021-05-01,2025-04-08,idv_last_date_to_order,2022-04-30,21778716.00,20058269.95,SUPPORT FOR THE UNITED STATES .GLOBAL CHANGE RESEARCH PROGRAM (USGCRP).NATIONAL COORDINATION OFFICE (NCO). T4C AGREEMENT FINALIZATION FOR EARTH SCIENCES GROUP.,termination_action_code,Terminate-for-convenience action P00031 on 2026-03-03,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80HQTR21D0004_8000/,,,,
USAspending Terminations,VA-11,"Icf Incorporated, LLC",80HQTR22F0076,P00010,,,2022-05-04,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-03-18,P00010,2026-03-18,,,2022-05-04,2025-04-08,period_of_performance,2022-09-30,979989.29,567157.32,SUPPORT FOR U.S.PARTICIPATION IN THEINTERGOVERNMENTALPANEL ON CLIMATECHANGE AND RELATEDINTERNATIONALASSESSMENTS,termination_action_code,Terminate-for-convenience action P00010 on 2026-03-18,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR22F0076_8000_80HQTR21D0004_8000/,,,,
USAspending Terminations,VA-11,"Icf Incorporated, LLC",80HQTR22F0109,P00005,,,2022-08-26,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-03-18,P00005,2026-03-18,,,2022-10-03,2025-04-08,period_of_performance,2026-04-30,879147.00,543483.20,SPECIALIZED SUPPORT SERVICES FOR A CARBON CYCLE INTERAGENCY WORKING GROUP (CCIWG) COORDINATOR TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO).,termination_action_code,Terminate-for-convenience action P00005 on 2026-03-18,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR22F0109_8000_80HQTR21D0004_8000/,,,,
USAspending Terminations,VA-11,"Icf Incorporated, LLC",80HQTR24F0019,P00003,,,2023-12-19,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-04-09,,,,,2023-12-19,2025-04-08,period_of_performance,2026-04-30,685384.00,224179.92,STOP WORK AND TERMINATION FOR CONVENIENCE NOTICE ISSUED. ENGAGEMENT SPECIALIST TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO),termination_language,Termination-language transaction P00002 on 2025-04-08,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0019_8000_80HQTR21D0004_8000/,,,,
DOGE,VA-11,"Icf Incorporated, LLC",80HQTR24F0012,P00004,,,2023-11-16,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00004,2026-04-14,,,2023-11-16,2025-04-08,period_of_performance,2026-04-30,1929221.26,1052623.92,"Status: Expired. Reported savings: $1,439,420.89. DOGE Action Date: 2/18/2025. Provides technical support for the co-chairs and bureau of wgiii, cross-working group coordination. this is a NASA hq requirement.",external_claim,Expired,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0012_8000_80HQTR21D0004_8000/,DOGE,Expired,1439420.89,2/18/2025
USAspending Terminations,VA-11,"Icf Incorporated, LLC",80HQTR24F0037,P00003,,,2024-03-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00003,2026-04-14,,,2024-03-18,2025-04-08,period_of_performance,2026-04-30,651786.00,222818.65,TO PROVIDE A SCOPE FOR SPECIALIZED SUPPORT SERVICES FOR TWO CLIMATE SERVICES PERSONNEL TO THE U.S. GLOBAL CHANGE RESEARCH PROGRAM (USGCRP) NATIONAL COORDINATION OFFICE (NCO) FOR CLIMATE SERVICES.,termination_action_code,Terminate-for-convenience action P00003 on 2026-04-14,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0037_8000_80HQTR21D0004_8000/,,,,
USAspending Terminations,VA-11,"Icf Incorporated, LLC",80HQTR25F7019,P00002,,,2024-12-04,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00002,2026-04-14,,,2024-12-04,2025-04-08,period_of_performance,2026-04-30,224255.00,28622.76,"ASSIST WITH PLANNING ACTIVITIES INVOLVING A LARGE INTERNATIONAL AUTHOR TEAM COORDINATE IN-PERSON AND REMOTE MEETINGS, TRACK THE STATUS OF AUTHORS' WORK",termination_action_code,Terminate-for-convenience action P00002 on 2026-04-14,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR25F7019_8000_80HQTR21D0004_8000/,,,,
USAspending Terminations,VA-11,"Icf Incorporated, LLC",80HQTR23F0042,P00001,,,2023-02-16,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-14,P00001,2026-04-14,,,2023-02-16,2025-04-08,period_of_performance,2024-04-30,335875.00,272464.44,THIS TASK ORDER #4 IS HEREBY ISSUED TO PROVIDE SUPPORT FOR U.S. PARTICIPATION IN AN ALL-HANDS MEETING FOR THE 5TH NATIONAL CLIMATE ASSESSMENT IN ACCORDANCE THE ATTACHED STATEMENT OF WORK,termination_action_code,Terminate-for-convenience action P00001 on 2026-04-14,"category_business, limited_liability_corporation, minority_owned_business, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR23F0042_8000_80HQTR21D0004_8000/,,,,
NASA Procurement Data View,FL-09,"Imec USA Nanoelectronics Design Center, Inc",80NSSC19K1666,P00003,A,NEW,2019-09-27,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-05,,,P00003,2025-08-05,2019-09-03,,,2025-09-02,35780.47,0.00,"TERMINATION FOR CONVENIENCE AGREEMENT - RODENT HINDLIMB SUSPENSION, RODENT CSF, AND DIRECT ICP & BIOMARKERS - SUPPORT FOR SOMD DIRECTORATE",description_keyword,,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC19K1666_080/,,,,
DOGE,VA-11,Immixtechnology Inc,80NSSC24FA260,0,,,2024-02-05,,,2024-02-05,,,,,2024-03-01,2025-02-28,period_of_performance,2025-02-28,38454.11,38454.11,"Status: Expired. Reported savings: $38,454.00. DOGE Action Date: 3/20/2025. This order is for digimat software and support maintenance.",external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24FA260_8000_NNG15SC39B_8000/,DOGE,Expired,38454.0,3/20/2025
USAspending Terminations,NY-17,International Business Machines Corporation,80NSSC26M0008,P00002,A,NEW,2026-02-02,B,CONTINUATION,2026-03-30,,,P00001,2026-03-24,2025-07-01,2028-03-31,period_of_performance,2027-06-30,2000000.00,0.00,ACCELERATING DISCOVERY THROUGH TRANSFORMATIVE AI ARCHITECTURES,obligation_clawback,"Pure-clawback deobligation P00001 on 2026-03-24 (50% of $4,000,000)","category_business, corporate_entity_not_tax_exempt, other_than_small_business",https://www.usaspending.gov/award/ASST_NON_80NSSC26M0008_080/,,,,
USAspending Terminations,CA-34,Jones and Company Professional Corporation,80NSSC23AA019,P00001,,,2023-06-30,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-18,P00001,2025-03-18,,,2023-10-01,2025-03-18,idv_last_date_to_order,2028-09-30,0.00,,TERMINATION FOR CONVENIENCE AGREEMENT - AUDIT SERVICES,termination_action_code,Terminate-for-convenience action P00001 on 2025-03-18,"8a_program_participant, black_american_owned_business, category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, minority_owned_business, self_certified_small_disadvanted_business, small_business, small_disadvantaged_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_IDV_80NSSC23AA019_8000/,,,,
USAspending Terminations,FL-03,"Jones, Edmunds & Associates, Inc.",80KSC020D0018,P00009,,,2020-09-25,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00009,2025-04-08,,,2020-09-25,2025-04-08,idv_last_date_to_order,2025-09-24,0.00,,"TERMINATION FOR CONVENIENCE (COMPLETE) - PROFESSIONAL CIVIL DESIGN SERVICES AT KENNEDY SPACE CENTER (KSC), AND VARIOUS NASA LOCATIONS, ASSETS, LAUNCH OR LANDING SITES WORLDWIDE.",termination_action_code,Terminate-for-convenience action P00009 on 2025-04-08,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80KSC020D0018_8000/,,,,
USAspending Terminations,MI-12,KCS Prototype and Design LLC,80GRC022AA014,P00003,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",termination_action_code,Terminate-for-convenience action P00003 on 2025-04-15,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA014_8000/,,,,
DOGE,VA-11,KPMG LLP,80NSSC24PC269,P00002,,,2024-09-03,C,FUNDING ONLY ACTION,2025-06-10,P00001,2025-03-24,,,2024-09-03,2025-03-24,period_of_performance,2025-09-02,96000.00,96000.00,"Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/18/2025. Training immersion to provide direct experience and exposure for NASA leaders to for-profit industry organizations in support of the agency’s public private talent program pilot program and in association with the leadership development program, NASA aspire, learning objectives.  more specifically understanding how the business drives efficiency in decision making, leads technology innovation / artificial intelligence / data ecosystems, and their investment strategy.",external_claim,TERMINATED,"category_business, other_than_small_business, partnership_or_limited_liability_partnership, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC269_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,2/18/2025
USAspending Terminations,IN-02,"Kessington, LLC",80GRC022AA024,P00002,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",termination_action_code,Terminate-for-convenience action P00002 on 2025-04-15,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, manufacturer_of_goods, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA024_8000/,,,,
DOGE,CO-05,Keysight Technologies Inc,80NSSC24PA923,P00001,,,2024-04-23,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-17,P00001,2025-03-17,,,2024-06-14,2025-03-17,period_of_performance,2025-06-13,10152.96,10152.96,"Status: TERMINATED. Reported savings: $10,153.00. DOGE Action Date: 3/20/2025. This order is for ads software and support maintenance.",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA923_8000_-NONE-_-NONE-/,DOGE,TERMINATED,10153.0,3/20/2025
DOGE,CO-05,Keysight Technologies Inc,80NSSC24PA753,P00001,,,2024-03-28,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-19,P00001,2025-03-19,,,2024-04-15,2025-03-19,period_of_performance,2025-04-14,33662.52,33662.52,"Status: TERMINATED. Reported savings: $33,663.00. DOGE Action Date: 3/20/2025. This order is for genesys and support maintenance.",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA753_8000_-NONE-_-NONE-/,DOGE,TERMINATED,33663.0,3/20/2025
DOGE,PA-04,Kutztown University of Pennsylvania,80NSSC25K7045,P00002,A,NEW,2024-11-06,B,CONTINUATION,2025-03-21,,,,,2024-10-07,2025-03-21,period_of_performance,2029-10-06,74992.00,8674.57,"DOGE Action Date: 3/21/2025. Reported savings: $299,968.00. Here to observe + here to storytell experiences for undergraduate students, planetary sciences division",external_claim,,"educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7045_080/,DOGE,,299968.0,3/21/2025
DOGE,VA-11,"Leidos, Inc.",80NSSC24PC405,P00001,,,2024-09-19,M,OTHER ADMINISTRATIVE ACTION,2024-09-25,,,,,2024-09-01,2024-09-25,period_of_performance,2025-08-31,0.00,0.00,Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. Fy24 verint annual maintenance & support coverage standard plan,external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC405_8000_-NONE-_-NONE-/,DOGE,Expired,0.0,3/20/2025
USAspending Terminations,IN-07,Linde Advanced Material Technologies Inc.,80NSSC25PB270,P00001,,,2025-06-24,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-05-22,P00001,2026-05-22,,,2025-06-24,2025-07-01,period_of_performance,2025-07-01,0.00,0.00,"ALLOY Z, CHEM/SIZING POWDER",termination_action_code,Terminate-for-convenience action P00001 on 2026-05-22,"category_business, corporate_entity_not_tax_exempt, foreign_owned, foreign_owned_and_us_located_business, manufacturer_of_goods, other_than_small_business, special_designations",https://www.usaspending.gov/award/CONT_AWD_80NSSC25PB270_8000_-NONE-_-NONE-/,,,,
DOGE,VA-11,"Lmi Consulting, LLC",80NSSC24PA660,P00002,,,2024-03-07,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-16,P00002,2025-04-16,,,2024-03-07,2025-03-31,period_of_performance,2025-03-31,42878.06,42878.06,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Bridge program retreat,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA660_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/6/2025
